Keyword,Volume,Topic,Pillar,Page,Page role,Page intent,Keyword intent,Intent source
software supply chain attacks,320,Threat Management,Supply Chain Attacks,Understanding Supply Chain Attacks,Pillar page,Informational,Informational,text
soar siem,320,Cybersecurity Services,SOAR in Cybersecurity,SIEM vs SOAR Explained,Supporting,Informational,Informational,text
cloud native siem,320,Cybersecurity Services,SIEM Overview,Cloud-Based SIEM Solutions,Supporting,Commercial,Commercial,text
managed endpoint protection,320,Cybersecurity Services,Managed Detection and Response,Managed Endpoint Security Solutions,Supporting,Transactional,Transactional,text
threat intelligence as a service,320,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
xdr vs siem vs soar,260,Cybersecurity Services,SIEM Comparisons,XDR Compared to SIEM,Pillar page,Informational,Informational,text
security operations center services,260,Cybersecurity Services,Managed Security Solutions,Security Operations Center Solutions,Supporting,Commercial,Commercial,text
security intelligence,260,Cybersecurity Services,SIEM Overview,Exploring Security Intelligence Platforms,Supporting,Mixed,Informational,text
threat intelligence program,260,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Informational,text
what is siem in security,260,Cybersecurity Services,SIEM Overview,What Is SIEM Technology?,Supporting,Informational,Informational,text
security automation tools,260,Cybersecurity Services,Security Orchestration Automation,Top Security Automation Tools,Supporting,Commercial,Commercial,text
vulnerability scanning as a service,260,Threat Management,Vulnerability Management,Vulnerability Scanning as a Service,Supporting,Transactional,Transactional,text
vulnerability assessment software,260,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Commercial,text
siem log management,260,Cybersecurity Services,SIEM Overview,SIEM Logging and Management,Supporting,Informational,Commercial,text
xdr solution,260,Cybersecurity Services,XDR Cybersecurity Solutions,Understanding XDR Solutions,Pillar page,Commercial,Commercial,text
siem and soc,260,Cybersecurity Services,SIEM Overview,SIEM and SOC Comparison,Supporting,Informational,Informational,text
network security as a service,260,Cybersecurity Services,Managed Security Solutions,Affordable Security as a Service,Supporting,Transactional,Transactional,text
managed security operations,260,Cybersecurity Services,Managed Security Solutions,Managed Security Operations Overview,Supporting,Mixed,Transactional,text
best vulnerability management tools,260,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
cybersecurity vulnerability assessment,260,Threat Management,Vulnerability Management,Cybersecurity Vulnerability Assessments,Supporting,Informational,Informational,text
cyber security risk assessment tools,260,Risk Management,Cybersecurity Risk Management,Top Cybersecurity Risk Assessment Tools,Supporting,Commercial,Commercial,text
cyber vulnerability assessment,260,Threat Management,Vulnerability Management,Cybersecurity Vulnerability Assessments,Supporting,Informational,Informational,text
cloud risk assessment,260,Cybersecurity Practices,Cloud Security Solutions,Cloud Vulnerability Management Insights,Supporting,Mixed,Informational,text
automated pen testing,260,Threat Management,Penetration Testing Overview,Automated Penetration Testing Solutions,Supporting,Commercial,Commercial,text
asm security,260,Cybersecurity Services,ASM Security Solutions,Understanding ASM Security Concepts,Supporting,Informational,Informational,text
ioc cyber security,260,Cybersecurity Practices,Cybersecurity Innovations,Indicators of Compromise in Cybersecurity,Supporting,Informational,Informational,text
casb tools,260,Cybersecurity Practices,CASB Solutions,Exploring CASB Solutions and Vendors,Pillar page,Commercial,Commercial,text
network security scanner,260,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Commercial,text
cloud security products,210,Cybersecurity Practices,Cloud Security Solutions,Top Cloud Security Solutions,Pillar page,Commercial,Commercial,text
mdr cyber,210,Cybersecurity Services,MDR Cybersecurity Solutions,Introduction to Cyber MDR,Supporting,Commercial,Commercial,text
cspm vs cwpp,210,Cybersecurity Practices,Cloud Security Posture Management,CSPM vs CWPP Comparison Guide,Supporting,Informational,Informational,text
kubernetes runtime security,210,Cybersecurity Practices,Kubernetes Security Solutions,Kubernetes Security Solutions Overview,Pillar page,Mixed,Informational,text
vulnerability assessment methodology,210,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Informational,text
threat intelligence vendors,210,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
dlp cybersecurity,210,Cybersecurity Practices,Data Loss Prevention,Top DLP Security Solutions,Supporting,Commercial,Commercial,text
siem tools examples,210,Cybersecurity Services,SIEM Overview,Popular SIEM Tools Explained,Supporting,Informational,Informational,text
sase network security,210,Cybersecurity Practices,Secure Access Service Edge,SASE Network Security Overview,Supporting,Commercial,Commercial,text
popular siem tools,210,Cybersecurity Services,SIEM Overview,Popular SIEM Tools Explained,Supporting,Informational,Informational,text
security information and event management definition,210,Cybersecurity Services,SIEM Overview,Overview of Security Information Management,Supporting,Informational,Informational,text
security information and event management siem software,210,Cybersecurity Services,SIEM Overview,Security Information Management Systems,Supporting,Commercial,Transactional,text
ngav vs edr,210,Cybersecurity Services,EDR Security Solutions,NGAV vs EDR Comparison,Supporting,Informational,Informational,text
application vulnerability assessment,210,Threat Management,Vulnerability Management,Application Vulnerability Management,Supporting,Mixed,Informational,text
cloud patch management,210,Cybersecurity Practices,Cloud Security Solutions,Cloud Patch Management Solutions,Supporting,Transactional,Transactional,text
soc as a service companies,170,Cybersecurity Services,SOC as a Service,Understanding SOC as a Service,Supporting,Commercial,Commercial,text
zero trust architecture example,170,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Informational,text
top 10 siem tools,170,Cybersecurity Services,SIEM Overview,Top 10 SIEM Tools List,Supporting,Informational,Informational,text
xdr platforms,170,Cybersecurity Services,XDR Cybersecurity Solutions,Understanding XDR Solutions,Pillar page,Commercial,Commercial,text
soar systems,170,Cybersecurity Services,SOAR in Cybersecurity,Top SOAR Solutions and Services,Supporting,Commercial,Commercial,text
examples of siem,170,Cybersecurity Services,SIEM Overview,Examples of SIEM Tools,Supporting,Informational,Informational,text
examples of siem tools,170,Cybersecurity Services,SIEM Overview,Examples of SIEM Tools,Supporting,Informational,Informational,text
enterprise dark web monitoring,170,Threat Management,Dark Web Insights,Dark Web Monitoring Explained,Supporting,Mixed,Commercial,text
kubernetes security issues,170,Cybersecurity Practices,Kubernetes Security Solutions,Kubernetes Security Solutions Overview,Pillar page,Mixed,Informational,text
secure access edge service,170,Cybersecurity Practices,Secure Access Service Edge,Exploring Secure Access Edge Services,Supporting,Commercial,Commercial,text
asset discovery software,170,Risk Management,IT Asset Management,Best Asset Discovery Software,Supporting,Commercial,Commercial,text
security information and event management system,170,Cybersecurity Services,SIEM Overview,Overview of Security Information Management,Supporting,Informational,Informational,text
cloud siem solutions,170,Cybersecurity Services,SIEM Overview,Cloud-Based SIEM Solutions,Supporting,Commercial,Commercial,text
cyber security asset management,170,Risk Management,Cybersecurity Risk Management,Cyber Security Asset Management Solutions,Supporting,Commercial,Commercial,text
cloud security aws,170,Cybersecurity Practices,Cloud Security Solutions,Cloud Security for AWS Users,Supporting,Commercial,Commercial,text
mdr vs mssp vs siem,170,Cybersecurity Services,SIEM Comparisons,MDR and SIEM Comparison,Supporting,Informational,Informational,text
enterprise log management,140,Cybersecurity Services,Log Management Solutions,Enterprise Log Management Overview,Supporting,Commercial,Commercial,text
types of threat actors,140,Threat Management,Threat Modeling Concepts,Exploring Threat Actors,Supporting,Informational,Informational,text
co managed siem,140,Cybersecurity Services,SIEM Overview,Co-Managed SIEM Services,Supporting,Commercial,Commercial,text
ueba cyber security,140,Cybersecurity Practices,Cybersecurity Innovations,User and Entity Behavior Analytics Overview,Supporting,Informational,Informational,text
difference between siem and soar,140,Cybersecurity Services,SOAR in Cybersecurity,SIEM vs SOAR Explained,Supporting,Informational,Informational,text
easm cybersecurity,140,Cybersecurity Services,EASM Cybersecurity Solutions,EASM Cybersecurity Insights,Supporting,Commercial,Commercial,text
continuous attack surface monitoring,140,Security Management,Attack Surface Management,Continuous Attack Surface Monitoring Explained,Supporting,Commercial,Commercial,text
user entity behavior analytics,140,Threat Management,User Behavior Analytics,Exploring User Entity Behavior Analytics,Supporting,Commercial,Commercial,text
mdr services cybersecurity,140,Cybersecurity Services,MDR Cybersecurity Solutions,MDR Security Services Overview,Supporting,Mixed,Commercial,text
network detection and response tools,140,Cybersecurity Services,Managed Detection and Response,Network Detection and Response Explained,Supporting,Commercial,Commercial,text
security event monitoring,140,Cybersecurity Services,SIEM Overview,Security Event Monitoring Solutions,Supporting,Commercial,Commercial,text
definition of least privilege,110,Security Management,Least Privilege Access,Understanding Least Privilege Principle,Pillar page,Informational,Informational,text
cyber attack surface,110,Security Management,Attack Surface Management,What Is an Attack Surface?,Supporting,Informational,Informational,text
what is cyber risk,110,Risk Management,Cybersecurity Risk Management,What Is Cyber Risk?,Supporting,Informational,Informational,text
siem security incident event management,110,Cybersecurity Services,SIEM Overview,Security Information Management Systems,Supporting,Commercial,Informational,text
container security solution,110,Cybersecurity Practices,Container Security Essentials,Top Container Security Solutions,Pillar page,Commercial,Commercial,text
managed incident response,110,Risk Management,Incident Response Solutions,Managed Incident Response Services,Pillar page,Commercial,Commercial,text
risk based vulnerability prioritization,110,Threat Management,Vulnerability Management,Risk-Based Vulnerability Management,Supporting,Commercial,Commercial,text
mcp server security,110,Security Management,MCP Security Strategies,MCP Security Best Practices Guide,Pillar page,Commercial,Commercial,text
what is telemetry in cyber security,110,Threat Management,Network Telemetry Insights,Understanding Telemetry in Cyber Security,Supporting,Informational,Informational,text
zero trust network model,110,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Informational,text
next generation siem,110,Cybersecurity Services,SIEM Overview,Next Generation SIEM Overview,Supporting,Commercial,Commercial,text
what is the mitre att&ck framework,110,Threat Management,MITRE ATT&CK Framework,Introduction to MITRE ATT&CK,Supporting,Informational,Informational,text
gartner siem quadrant,90,Cybersecurity Services,Gartner SIEM Insights,Understanding SIEM Magic Quadrant,Pillar page,Informational,Informational,text
mdr gartner quadrant,70,Cybersecurity Services,Gartner SIEM Insights,Gartner MDR Quadrant Explained,Supporting,Informational,Informational,text
managed identity threat detection and response,70,Threat Management,Threat Detection Solutions,Identity Threat Detection Solutions,Supporting,Commercial,Commercial,text
gartner mdr quadrant,70,Cybersecurity Services,Gartner SIEM Insights,Gartner MDR Quadrant Explained,Supporting,Informational,Informational,text
mdr buyers guide,40,Cybersecurity Services,MDR Cybersecurity Solutions,Top MDR Service Providers,Supporting,Commercial,Informational,text
exposure assessment platforms,30,Risk Management,Exposure Assessment Solutions,Understanding Exposure Assessment Platforms,Pillar page,Informational,Commercial,text
open source threat intelligence feed,30,Threat Management,Threat Intelligence Solutions,Open Source Threat Intelligence Feeds,Supporting,Informational,Informational,text
internet dark,40500,Threat Management,Dark Internet,Understanding The Dark Internet,Pillar page,Informational,Informational,text
penetration testing,27100,Threat Management,Penetration Testing Overview,Types of Penetration Testing,Pillar page,Mixed,Informational,text
fedramp,18100,Compliance and Governance,FedRAMP Overview,Understanding FedRAMP Compliance,Pillar page,Informational,Informational,text
zero trust,9900,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Informational,text
soc 2 compliance,8100,Compliance and Governance,Cybersecurity Compliance Solutions,Understanding SOC 2 Compliance,Pillar page,Mixed,Informational,text
exploits,8100,Threat Management,Exploit Resources,Overview of Exploits,Pillar page,Informational,Informational,text
intrusion prevention system,8100,Cybersecurity Services,Intrusion Detection Systems,Intrusion Detection And Prevention Overview,Pillar page,Mixed,Informational,text
red teaming,6600,Threat Management,Red Teaming Concepts,Introduction to Red Teaming,Pillar page,Informational,Informational,text
zero trust architecture,6600,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Informational,text
fisma,6600,Compliance and Governance,FISMA Compliance,Understanding FISMA Compliance,Pillar page,Informational,Informational,text
cyber security services,6600,Cybersecurity Services,Managed Security Solutions,Comprehensive Cybersecurity Services,Supporting,Commercial,Commercial,text
vulnerability definition,6600,Threat Management,Vulnerability Management,Understanding Vulnerabilities Defined,Supporting,Informational,Informational,text
what is a phishing attack,6600,Threat Management,Spear Phishing Overview,Overview of Phishing Attacks,Supporting,Informational,Informational,text
it asset management,6600,Risk Management,IT Asset Management,Understanding IT Asset Management,Pillar page,Mixed,Commercial,text
open source intel,5400,Threat Management,Open Source Intelligence,Understanding Open Source Intelligence,Pillar page,Informational,Informational,text
zero trust security,5400,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Informational,text
scap,5400,Compliance and Governance,SCAP Compliance Framework,Understanding SCAP Compliance,Pillar page,Informational,Informational,text
principle of least privilege,5400,Security Management,Least Privilege Access,Understanding Least Privilege Principle,Pillar page,Informational,Informational,text
cross site scripting,4400,Threat Management,XSS Vulnerabilities,Understanding Cross Site Scripting,Pillar page,Informational,Informational,text
seim,4400,Cybersecurity Services,SEIM Solutions,Understanding SEIM Technology,Pillar page,Informational,Informational,text
what is ci/cd,4400,Cybersecurity Practices,CI/CD Fundamentals,What Is CI/CD Explained,Pillar page,Informational,Informational,text
attribute based access control,4400,Security Management,Attribute-Based Access Control,Understanding Attribute Based Access Control,Pillar page,Informational,Informational,text
what is zero trust security,4400,Security Management,Zero Trust Security,Understanding Zero Trust Security,Supporting,Informational,Informational,text
sdlc meaning,3600,Miscellaneous,Software Development Life Cycle,Understanding SDLC Meaning,Supporting,Informational,Informational,text
third party risk management,3600,Risk Management,Third Party Risk Management,Understanding Third Party Risk Management,Pillar page,Informational,Commercial,text
cwpp,3600,Cybersecurity Practices,Cloud Security Posture Management,Understanding CWPP Security Solutions,Supporting,Informational,Informational,text
ransomware protection,3600,Threat Management,Ransomware Awareness,Effective Ransomware Protection Solutions,Supporting,Mixed,Commercial,text
data encryption,2900,Cybersecurity Practices,Data Encryption Overview,Understanding Data Encryption Meaning,Supporting,Mixed,Commercial,text
managed it security services,2900,Cybersecurity Services,Managed Security Solutions,Expert Managed IT Services,Pillar page,Commercial,Commercial,text
human in the loop,2900,Cybersecurity Practices,Human-in-the-Loop Overview,Understanding Human In The Loop,Pillar page,Informational,Informational,text
soc report,2900,Security Management,SOC Reporting Insights,Comprehensive Guide to SOC Reports,Pillar page,Informational,Informational,text
what is penetration testing,2900,Threat Management,Penetration Testing Overview,What Is Penetration Testing?,Supporting,Informational,Informational,text
exploit db,2400,Threat Management,Exploit Resources,Exploit Database Insights,Supporting,Informational,Informational,text
what is zero trust,2400,Security Management,Zero Trust Security,Understanding Zero Trust Security,Supporting,Informational,Informational,text
what is osint,2400,Threat Management,Open Source Intelligence,What Is OSINT Explained,Supporting,Informational,Informational,text
patch tuesday,2400,Threat Management,Patch Management Strategies,Overview of Patch Tuesday,Supporting,Informational,Informational,text
aws security,2400,Cybersecurity Practices,Cloud Security Strategies,Top AWS Security Services,Supporting,Commercial,Commercial,text
siem meaning,2400,Cybersecurity Services,SIEM Overview,Understanding SIEM Meaning,Pillar page,Informational,Informational,text
operational technology,2400,Cybersecurity Practices,Operational Technology Overview,Understanding Operational Technology,Pillar page,Informational,Informational,text
malvertising,1900,Threat Management,Malvertising Explained,Understanding Malvertising Concepts,Pillar page,Informational,Informational,text
pen testing services,1900,Threat Management,Penetration Testing Overview,Choosing Pen Testing Services,Supporting,Transactional,Transactional,text
phishing attacks,1900,Threat Management,Spear Phishing Overview,Types of Phishing Attacks Explained,Supporting,Informational,Informational,text
life cycle development definition,1600,Cybersecurity Practices,Life Cycle Development,Understanding Life Cycle Development,Pillar page,Informational,Informational,text
web application security testing,1600,Cybersecurity Practices,Application Security Solutions,Web Application Security Assessment Guide,Supporting,Mixed,Transactional,text
what is data integrity,1600,Cybersecurity Practices,Data Integrity Overview,Understanding Data Integrity,Pillar page,Informational,Informational,text
mssp meaning,1600,Cybersecurity Services,MSSP Overview,Understanding MSSP Meaning,Pillar page,Informational,Informational,text
managed soc,1600,Cybersecurity Services,SOC as a Service,Exploring Managed SOC Services,Pillar page,Commercial,Commercial,text
whaling attack,1300,Threat Management,Whaling Cybersecurity,Understanding Whaling Attacks,Pillar page,Informational,Informational,text
zero trust model,1300,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Informational,text
what is a cve,1300,Threat Management,CVE Vulnerability Insights,What Is a CVE?,Pillar page,Informational,Informational,text
cyber intelligence,1300,Threat Management,Threat Intelligence Solutions,Understanding Cyber Threat Intelligence,Supporting,Mixed,Informational,text
what is ndr,1300,Threat Management,NDR Insights,Understanding NDR Meaning,Pillar page,Informational,Informational,text
aws security best practices,1300,Cybersecurity Practices,Cloud Security Strategies,Cloud Security Best Practices Guide,Pillar page,Informational,Informational,text
ransomware prevention,1300,Threat Management,Ransomware Awareness,Effective Ransomware Protection Solutions,Supporting,Mixed,Informational,text
fisma compliance,1300,Compliance and Governance,FISMA Compliance,Understanding FISMA Compliance,Pillar page,Informational,Informational,text
least privilege access,1300,Security Management,Least Privilege Access,Understanding Least Privilege Principle,Pillar page,Informational,Informational,text
managed soc services,1300,Cybersecurity Services,SOC as a Service,Exploring Managed SOC Services,Pillar page,Commercial,Transactional,text
nist frameworks,1000,Compliance and Governance,NIST Cybersecurity Framework,Understanding NIST Frameworks,Pillar page,Informational,Informational,text
advanced threat detection,1000,Threat Management,Advanced Threat Protection,Advanced Threat Protection Solutions,Pillar page,Commercial,Commercial,text
sdlc definition,1000,Miscellaneous,Software Development Life Cycle,Understanding SDLC Meaning,Supporting,Informational,Informational,text
soar tools,1000,Cybersecurity Services,SOAR in Cybersecurity,Essential SOAR Tools for Automation,Supporting,Commercial,Commercial,text
penetration testing company,1000,Threat Management,Penetration Testing Overview,Choosing Pen Testing Services,Supporting,Transactional,Transactional,text
waf web application firewall,1000,Cybersecurity Practices,Application Security Solutions,Understanding Web Application Firewalls,Pillar page,Commercial,Commercial,text
what is pentesting,1000,Threat Management,Penetration Testing Overview,What Is Penetration Testing?,Supporting,Informational,Informational,text
what is a waf,1000,Cybersecurity Practices,WAF Security Solutions,Understanding Web Application Firewalls,Pillar page,Informational,Informational,text
iocs,1000,Threat Management,Indicators of Compromise,Understanding IOCs in Cybersecurity,Pillar page,Informational,Informational,text
what is asm,1000,Cybersecurity Services,ASM Security Solutions,Definition and Overview of ASM,Pillar page,Informational,Informational,text
security vulnerability assessment,880,Threat Management,Vulnerability Management,Vulnerability Assessment Solutions,Pillar page,Commercial,Transactional,text
identity threat detection and response,880,Threat Management,Threat Detection Solutions,Identity Threat Detection Solutions,Supporting,Commercial,Commercial,text
siem security tool,880,Cybersecurity Services,SIEM Overview,Popular SIEM Tools Explained,Supporting,Informational,Commercial,text
sql injections,880,Threat Management,SQL Injection Overview,Types of SQL Injections,Supporting,Informational,Informational,text
sql injection meaning,880,Threat Management,SQL Injection Overview,SQL Injection Definition Explained,Pillar page,Informational,Informational,text
siem security tools,880,Cybersecurity Services,SIEM Overview,Popular SIEM Tools Explained,Supporting,Informational,Commercial,text
vulnerability management program,880,Threat Management,Vulnerability Management,Vulnerability Management Best Practices,Supporting,Informational,Transactional,text
external attack surface management,880,Security Management,Attack Surface Management,External Attack Surface Management Overview,Supporting,Commercial,Commercial,text
siem products,880,Cybersecurity Services,SIEM Overview,Top SIEM Solutions Available,Supporting,Commercial,Commercial,text
exposure management,880,Risk Management,Threat Exposure Management,Top Exposure Management Solutions,Pillar page,Commercial,Commercial,text
security incident and event management system,880,Cybersecurity Services,SIEM Overview,Overview of Security Information Management,Supporting,Informational,Commercial,text
spoofing attack,880,Threat Management,Spoofing Explained,Understanding Spoofing Attacks,Pillar page,Informational,Informational,text
open source intelligence framework,880,Threat Management,Open Source Intelligence,Understanding Open Source Intelligence,Pillar page,Informational,Informational,text
ioc cybersecurity,880,Cybersecurity Practices,Cybersecurity Innovations,Indicators of Compromise in Cybersecurity,Supporting,Informational,Informational,text
soar platform,880,Cybersecurity Services,SOAR in Cybersecurity,Best SOAR Platforms Reviewed,Supporting,Commercial,Commercial,text
security vulnerability,880,Threat Management,Vulnerability Management,Security Vulnerabilities Overview,Supporting,Informational,Informational,text
vulnerability management solutions,880,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
devsecops definition,880,Cybersecurity Practices,DevSecOps Overview,Defining DevSecOps Services,Pillar page,Informational,Informational,text
container security tools,880,Cybersecurity Practices,Container Security Essentials,Top Container Security Solutions,Pillar page,Commercial,Commercial,text
cloud workload protection,880,Cybersecurity Practices,Cloud Security Solutions,Cloud Workload Protection Explained,Supporting,Mixed,Commercial,text
arbitrary code execution,880,Threat Management,Remote Code Execution,Arbitrary Code Execution Explained,Supporting,Informational,Informational,text
vulnerability scanner tools,880,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Commercial,text
what is network segmentation,880,Security Management,Network Segmentation Guide,Understanding Network Segmentation,Pillar page,Informational,Informational,text
cloud detection and response,880,Cybersecurity Practices,Cloud Security Solutions,Cloud Detection and Response Explained,Supporting,Informational,Commercial,text
vulnerability remediation,880,Threat Management,Vulnerability Management,Vulnerability Remediation Process,Supporting,Mixed,Transactional,text
what is threat intelligence,880,Threat Management,Threat Intelligence Solutions,What Is Threat Intelligence?,Supporting,Informational,Informational,text
cloud security monitoring,880,Cybersecurity Practices,Cloud Security Solutions,Importance of Cloud Security Monitoring,Supporting,Commercial,Commercial,text
vulnerability manager,880,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Commercial,text
devsecops best practices,880,Cybersecurity Practices,DevSecOps Overview,Best Practices for DevSecOps,Supporting,Informational,Informational,text
what is cspm,880,Cybersecurity Practices,Cloud Security Posture Management,CSPM Tools and Vendors Overview,Pillar page,Commercial,Informational,text
vulnerabilty scanner,880,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Informational,text
cloud native application protection platform,880,Cybersecurity Practices,Cloud Security Solutions,Exploring Cloud Native Security,Supporting,Commercial,Commercial,text
network vulnerability scanner,720,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Commercial,text
threat intelligence solutions,720,Threat Management,Threat Intelligence Solutions,Top Threat Intelligence Platforms,Pillar page,Commercial,Commercial,text
cyber threat intelligence platform,720,Threat Management,Threat Intelligence Solutions,Understanding Cyber Threat Intelligence,Supporting,Mixed,Commercial,text
cis framework,720,Compliance and Governance,CIS Security Framework,Understanding The CIS Framework,Pillar page,Informational,Informational,text
ngav,720,Cybersecurity Services,NGAV Overview,Understanding NGAV Solutions,Pillar page,Mixed,Commercial,text
what is spoofing in cyber security,720,Threat Management,Spoofing Explained,Spoofing in Cyber Security Explained,Supporting,Informational,Informational,text
what is soar in cyber security,720,Cybersecurity Services,SOAR in Cybersecurity,SOAR Security Tools Overview,Pillar page,Mixed,Informational,text
identity and access management tools,720,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Commercial,text
identity and access management system,720,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Commercial,text
sql vulnerability,720,Threat Management,SQL Injection Overview,Identifying SQL Vulnerabilities,Supporting,Informational,Informational,text
infrastructure as a code,720,Cybersecurity Practices,Infrastructure as Code,Understanding Infrastructure As Code,Pillar page,Informational,Informational,text
mdr service,720,Cybersecurity Services,MDR Cybersecurity Solutions,Top MDR Service Providers,Supporting,Commercial,Commercial,text
infrastructure as code tools,720,Cybersecurity Practices,Infrastructure as Code,Understanding Infrastructure As Code,Pillar page,Informational,Commercial,text
siem definition,720,Cybersecurity Services,SIEM Overview,Understanding SIEM Meaning,Pillar page,Informational,Informational,text
security vulnerabilities,720,Threat Management,Vulnerability Management,Security Vulnerabilities Overview,Supporting,Informational,Informational,text
caasm,720,Cybersecurity Practices,CaaS Security Insights,Understanding CAASM Concepts,Pillar page,Mixed,Commercial,text
what is attack surface management,720,Security Management,Attack Surface Management,External Attack Surface Management Overview,Supporting,Commercial,Informational,text
lateral movement meaning,720,Threat Management,Lateral Movement Concepts,Understanding Lateral Movement,Pillar page,Informational,Informational,text
dast scanning,720,Cybersecurity Practices,DAST Tools Overview,Best DAST Tools Comparison,Supporting,Commercial,Commercial,text
cloud workload protection platform,720,Cybersecurity Practices,Cloud Security Solutions,Cloud Workload Protection Explained,Supporting,Mixed,Commercial,text
application security software,720,Cybersecurity Practices,Application Security Solutions,Comprehensive Application Security Solutions,Supporting,Commercial,Commercial,text
cloud vulnerability management,720,Cybersecurity Practices,Cloud Security Solutions,Cloud Vulnerability Management Insights,Supporting,Mixed,Commercial,text
xdr vs siem,720,Cybersecurity Services,SIEM Comparisons,XDR Compared to SIEM,Pillar page,Informational,Informational,text
vulnerability prioritization,720,Threat Management,Vulnerability Management,Vulnerability Prioritization Techniques,Supporting,Mixed,Informational,text
dast scan,720,Cybersecurity Practices,DAST Tools Overview,Best DAST Tools Comparison,Supporting,Commercial,Informational,text
cloud security risks,720,Cybersecurity Practices,Cloud Security Solutions,Identifying Cloud Security Risks,Supporting,Informational,Informational,text
vulnerability mitigation,720,Threat Management,Vulnerability Management,Vulnerability Mitigation Strategies,Supporting,Informational,Informational,text
managed it security,720,Cybersecurity Services,Managed Security Solutions,Expert Managed IT Services,Pillar page,Commercial,Commercial,text
zero trust network architecture,720,Security Management,Zero Trust Security,Exploring Zero Trust Architecture,Pillar page,Informational,Informational,text
vulnerability management services,720,Threat Management,Vulnerability Management,Vulnerability Management Overview,Supporting,Commercial,Transactional,text
risk based vulnerability management,720,Threat Management,Vulnerability Management,Risk-Based Vulnerability Management,Supporting,Commercial,Informational,text
socaas,720,Cybersecurity Practices,SaaS Solutions,Understanding SocaaS Solutions,Pillar page,Commercial,Commercial,text
user and entity behavior analytics,720,Threat Management,User Behavior Analytics,User And Entity Behavior Analytics Overview,Supporting,Commercial,Commercial,text
security incident and event management,720,Cybersecurity Services,SIEM Overview,Overview of Security Information Management,Supporting,Informational,Informational,text
cnapp meaning,720,Cybersecurity Practices,CNAPP Overview,Understanding CNAPP Solutions,Pillar page,Commercial,Informational,text
vulnerability scanning tool,720,Threat Management,Vulnerability Management,Vulnerability Scanning Tools Explained,Supporting,Commercial,Transactional,text
xdr solutions,720,Cybersecurity Services,XDR Cybersecurity Solutions,Understanding XDR Solutions,Pillar page,Commercial,Commercial,text
managed threat detection and response,590,Cybersecurity Services,Managed Detection and Response,Managed Threat Detection Services Guide,Supporting,Commercial,Commercial,text
what is ioc,590,Threat Management,Indicators of Compromise,What Are IOCs Explained,Supporting,Informational,Informational,text
managed detection and response providers,590,Cybersecurity Services,Managed Detection and Response,Comprehensive Managed Detection Services,Pillar page,Commercial,Commercial,text
siem as a service,590,Cybersecurity Services,SIEM Overview,SIEM Management Services Explained,Supporting,Commercial,Commercial,text
what is identity and access management,590,Security Management,Identity Access Management,Comprehensive IAM Tools Guide,Supporting,Commercial,Informational,text
siem tooling,590,Cybersecurity Services,SIEM Overview,Popular SIEM Tools Explained,Supporting,Informational,Informational,text
cloud security providers,590,Cybersecurity Practices,Cloud Security Solutions,Top Cloud Security Solutions,Pillar page,Commercial,Commercial,text
siem soar,590,Cybersecurity Services,SOAR in Cybersecurity,SIEM and SOAR Relationship,Supporting,Informational,Informational,text
machine learning in cybersecurity,590,Cybersecurity Practices,Machine Learning in Cybersecurity,Machine Learning in Cybersecurity,Pillar page,Informational,Informational,text
managed security solutions,590,Cybersecurity Services,Managed Security Solutions,Top Managed Security Services,Supporting,Commercial,Commercial,text
what is dark web monitoring,590,Threat Management,Dark Web Insights,Dark Web Monitoring Explained,Supporting,Mixed,Informational,text
container security solutions,590,Cybersecurity Practices,Container Security Essentials,Top Container Security Solutions,Pillar page,Commercial,Commercial,text
what is api security,590,Cybersecurity Practices,API Security Solutions,API Security Explained,Supporting,Informational,Informational,text
